amount,bid_id,description,id,name
70.00,2203,,2251,earl
66.00,2203,,2252,toejam
95.00,2194,,2212,english
67.01,2194,,2213,french
30.00,2194,,2216,spanish
25.00,2194,,2214,german
20.00,2194,,2211,chewbacca
20.00,2194,,2215,italian
173.44,2199,,2241,stand-up glitch
25.00,2199,,2240,murder beam
80.07,2198,,2239,watermelon
50.00,2198,,2236,banana
45.00,2198,,2238,pink/purple
10.00,2198,,2237,blue/orange
489.61,2206,,2258,terra
468.61,2206,,2257,aqua
60.00,2206,,2259,ventus
260.00,2204,,2253,buster-only
0.00,2204,,2254,normal
151.00,2200,,2242,julius mode
25.00,2200,,2243,soma all bosses
265.64,2201,,2246,chikin sammich
254.41,2201,,2244,chicken burger
38.51,2201,,2245,chicken patty
20.00,2201,,2248,æ±?å ¡
15.00,2201,,2247,poultry puck
1763.70,2202,,2250,kh2
1241.01,2202,,2249,kh1
488.14,2205,,2256,piewexil
382.02,2205,,2255,bananawing duckola
276.00,2197,,2231,disco prince
170.00,2197,,2233,kuru kuru rock
30.00,2197,,2235,swing
20.00,2197,,2229,angel's rain
10.00,2197,,2234,scorching
4.80,2197,,2232,everlasting love
0.00,2197,,2230,cowbear
50.00,2193,,2210,dale
0.00,2193,,2209,chip
175.02,2196,,2227,donkey kong '94
52.00,2196,,2228,mario vs donkey kong
665.09,2207,,2260,100%
1.03,2207,,2261,any%
496.86,2195,,2222,lunk
161.61,2195,,2220,epsy
132.22,2195,,2223,puns
50.00,2195,,2224,rane
30.00,2195,,2218,boss
21.58,2195,,2226,word
15.00,2195,,2219,dink
10.00,2195,,2217,akazaboo
10.00,2195,,2221,krys
2.00,2195,,2225,rygert (rygt)
300.00,2208,,2269,sprkle
230.00,2208,,2265,moishe
101.00,2208,,2270,thor
30.00,2208,,2266,nasir
20.00,2208,,2262,cthulu
10.00,2208,,2264,isaac
10.00,2208,,2267,puns
10.00,2208,,2268,saturn
5.00,2208,,2263,derp
2243.00,6442,,6444,Tails
1668.00,6442,,6445,Knuckles
896.00,6442,,6446,Amy
252.52,6442,,6443,Sonic
1215.00,6447,,6576,Arya
526.62,6447,,6510,bepis
275.00,6447,,6500,PatMat
209.00,6447,,6573,Sam
145.00,6447,,6509,Kid
140.00,6447,,6517,Bailey
100.00,6447,,6548,Misch
60.00,6447,,6568,Frisk
50.00,6447,,6527,Pepis
47.28,6447,,6532,rAdmin
35.80,6447,,6518,Petch
25.00,6447,,6595,Jeff
12.00,6447,,6589,Temmie
0.00,6447,,6523,NES
1766.00,6581,,6583,Save Otacon
1596.13,6581,,6582,Save Meryl
2241.07,6449,,6451,Dark Side ending (aka Kill Rosh)
1979.00,6449,,6450,Light Side Ending (aka Save Rosh)
1702.94,6598,,6609,Houston
345.69,6598,,6606,Garyl
190.00,6598,,6599,Excuse me
155.30,6598,,6608,Orb
110.00,6598,,6619,ebooks
100.00,6598,,6602,Amiibo
100.00,6598,,6610,Lolodown
50.00,6598,,6615,Bepis
30.00,6598,,6603,Silver
20.00,6598,,6605,Marx
20.00,6598,,6620,Roach
10.00,6598,,6600,Kappa
5.00,6598,,6612,Just play.
220.00,6458,,6519,Kiki
100.00,6458,,6628,Wilma
