amount,description,event,goal,id,name,run
136.00,,sgdq2011,(None),2203,toejam or earl,toejam and earl 2: panic on funkotron
70.00,,sgdq2011,(None),2251,earl,toejam and earl 2: panic on funkotron
66.00,,sgdq2011,(None),2252,toejam,toejam and earl 2: panic on funkotron
257.01,,sgdq2011,(None),2194,language,rayman 2: the great escape
95.00,,sgdq2011,(None),2212,english,rayman 2: the great escape
67.01,,sgdq2011,(None),2213,french,rayman 2: the great escape
30.00,,sgdq2011,(None),2216,spanish,rayman 2: the great escape
25.00,,sgdq2011,(None),2214,german,rayman 2: the great escape
20.00,,sgdq2011,(None),2211,chewbacca,rayman 2: the great escape
20.00,,sgdq2011,(None),2215,italian,rayman 2: the great escape
198.44,,sgdq2011,(None),2199,mother brain kill method,super metroid
173.44,,sgdq2011,(None),2241,stand-up glitch,super metroid
25.00,,sgdq2011,(None),2240,murder beam,super metroid
1039.93,,sgdq2011,200.00,2180,save the animals (bid war),super metroid
185.07,,sgdq2011,(None),2198,cloak color,castlevania: symphony of the night
80.07,,sgdq2011,(None),2239,watermelon,castlevania: symphony of the night
50.00,,sgdq2011,(None),2236,banana,castlevania: symphony of the night
45.00,,sgdq2011,(None),2238,pink/purple,castlevania: symphony of the night
10.00,,sgdq2011,(None),2237,blue/orange,castlevania: symphony of the night
25.00,,sgdq2011,(None),2183,dracula cutscene,castlevania: symphony of the night
115.00,,sgdq2011,100.00,2179,galamoth punchout,castlevania: symphony of the night
75.00,,sgdq2011,(None),2182,i am the wind,castlevania: symphony of the night
238.99,,sgdq2011,(None),2187,weaponless,mirror's edge
1018.22,,sgdq2011,(None),2206,kh:bbs story choice,kingdom hearts: birth by sleep
489.61,,sgdq2011,(None),2258,terra,kingdom hearts: birth by sleep
468.61,,sgdq2011,(None),2257,aqua,kingdom hearts: birth by sleep
60.00,,sgdq2011,(None),2259,ventus,kingdom hearts: birth by sleep
250.00,,sgdq2011,(None),2175,clown dance,castle crashers
260.00,,sgdq2011,(None),2204,buster vs normal,mega man 9
260.00,,sgdq2011,(None),2253,buster-only,mega man 9
0.00,,sgdq2011,(None),2254,normal,mega man 9
30.00,,sgdq2011,(None),2189,still alive sing-a-long,portal
176.00,,sgdq2011,(None),2200,soma vs julius,castlevania: dawn of sorrow
151.00,,sgdq2011,(None),2242,julius mode,castlevania: dawn of sorrow
25.00,,sgdq2011,(None),2243,soma all bosses,castlevania: dawn of sorrow
100.00,,sgdq2011,(None),2190,no handgun,metal gear
120.36,,sgdq2011,100.00,2184,atlantica (bid war),kingdom hearts or kingdom hearts 2
328.36,,sgdq2011,600.00,2185,bronanassentia,kingdom hearts or kingdom hearts 2
593.56,,sgdq2011,(None),2201,chicken war,kingdom hearts or kingdom hearts 2
265.64,,sgdq2011,(None),2246,chikin sammich,kingdom hearts or kingdom hearts 2
254.41,,sgdq2011,(None),2244,chicken burger,kingdom hearts or kingdom hearts 2
38.51,,sgdq2011,(None),2245,chicken patty,kingdom hearts or kingdom hearts 2
20.00,,sgdq2011,(None),2248,æ±?å ¡,kingdom hearts or kingdom hearts 2
15.00,,sgdq2011,(None),2247,poultry puck,kingdom hearts or kingdom hearts 2
60.00,,sgdq2011,(None),2177,cutscenes,kingdom hearts or kingdom hearts 2
3004.71,,sgdq2011,(None),2202,kh game choice,kingdom hearts or kingdom hearts 2
1763.70,,sgdq2011,(None),2250,kh2,kingdom hearts or kingdom hearts 2
1241.01,,sgdq2011,(None),2249,kh1,kingdom hearts or kingdom hearts 2
320.00,,sgdq2011,(None),2178,random singing,kingdom hearts or kingdom hearts 2
300.00,,sgdq2011,300.00,2173,sephiroth,kingdom hearts or kingdom hearts 2
225.00,,sgdq2011,100.00,2192,trinkets,vvvvvv
6.00,,sgdq2011,(None),2191,hit top platform at the end of a level,kirby: nightmare in dreamland
870.16,,sgdq2011,(None),2205,banana or pie,startropics
488.14,,sgdq2011,(None),2256,piewexil,startropics
382.02,,sgdq2011,(None),2255,bananawing duckola,startropics
510.80,,sgdq2011,(None),2197,music,we love katamari
276.00,,sgdq2011,(None),2231,disco prince,we love katamari
170.00,,sgdq2011,(None),2233,kuru kuru rock,we love katamari
30.00,,sgdq2011,(None),2235,swing,we love katamari
20.00,,sgdq2011,(None),2229,angel's rain,we love katamari
10.00,,sgdq2011,(None),2234,scorching,we love katamari
4.80,,sgdq2011,(None),2232,everlasting love,we love katamari
0.00,,sgdq2011,(None),2230,cowbear,we love katamari
50.00,,sgdq2011,(None),2193,chip or dale,chip 'n dale rescue rangers
50.00,,sgdq2011,(None),2210,dale,chip 'n dale rescue rangers
0.00,,sgdq2011,(None),2209,chip,chip 'n dale rescue rangers
227.02,,sgdq2011,(None),2196,dk94 or mvdk?,donkey kong '94 or mario vs. dk
175.02,,sgdq2011,(None),2227,donkey kong '94,donkey kong '94 or mario vs. dk
52.00,,sgdq2011,(None),2228,mario vs donkey kong,donkey kong '94 or mario vs. dk
50.00,,sgdq2011,50.00,2176,collect every new arena power,kirby super star
20.00,,sgdq2011,20.00,2186,gourmet race,kirby super star
20.00,,sgdq2011,20.00,2174,spring breeze,kirby super star
20.00,,sgdq2011,20.00,2188,the arena,kirby super star
100.00,,sgdq2011,(None),2181,use suplex only on marx,kirby super star
666.12,,sgdq2011,(None),2207,any% or 100%,legend of zelda: a link to the past
665.09,,sgdq2011,(None),2260,100%,legend of zelda: a link to the past
1.03,,sgdq2011,(None),2261,any%,legend of zelda: a link to the past
